back away|[bæk əˈweɪ]|отступать, пятиться
turn down|[tɜːn daʊn]|отвергать, отклонять; убавлять, уменьшать
turn into||превращать(ся) в кого-л. или во что-л.
turn off|[tɜːn ɒf]|выключать; сворачивать, поворачивать
turn on|[tɜːn ɒn]|включать
turn out|[tɜːn aʊt]|оказаться, получиться, "выйти"
turn over|[tɜːn ˈəʊvə]|переворачивать(ся); передавать
turn up|[tɜːn ʌp]|появляться
wake up|[weɪk ʌp]|просыпаться; будить кого-л.
walk around|[wɔːk əˈraʊnd]|ходить, бродить повсюду
walk away|[wɔːk əˈweɪ]|уходить
walk back|[wɔːk bæk]|возвращаться, идти назад/обратно
walk in|[wɔːk ɪn]|входить
walk off|[wɔːk ɒf]|уходить
walk out|[wɔːk aʊt]|выходить
walk over|[wɔːk ˈəʊvə]|подойти, подходить
walk up|[wɔːk ʌp]|подойти, подходить
watch out|[wɒʧ aʊt]|остерегаться, быть начеку; присматривать
wind up|[wɪnd ʌp]|очутиться, оказаться; завершиться чем-л.
work out|[wəːk ˈaʊt]|понять, разобраться; спланировать; 3)получиться
work up|[wɜːk ʌp]|выработать, создать; волноваться, расстраиваться
write down|[raɪt daʊn]|записывать, излагать письменно
account for|[əˈkaʊnt fɔː]|объяснять что-л., приводить причины
act up|[ækt ʌp]|плохо себя вести (о ребенке)
add up|[æd ʌp]|подсчитывать
answer back|[ˈɑːnsə bæk]|огрызнуться
ask around|[ɑːsk əˈraʊnd]|расспрашивать
back up|[bæk ʌp]|одобрять, поддерживать кого-л.
base on||основываться, полагаться на что-л.
be about to||делать что-то немедленно
be into||любить что-л., быть вовлеченным во что-л.
beat up|[biːt ʌp]|бить кого-л.
belong to|[bɪˈlɒŋ tuː]|принадлежать
blend in|[blend ɪn]|слиться с некоторым фоном
blend into||слиться с толпой
boss around|[bɒs əˈraʊnd]|направлять кого-л., управлять
break through||прорываться через что-л.
bring back|[brɪŋ bæk]|восстанавливать, возвращать, отдавать
bring together|[brɪŋ təˈgeðə]|примириться друг с другом, сблизить друг друга
bring up|[brɪŋ ʌp]|воспитывать
brush up on||уточнять, обновлять знания
bump into||столкнуться с кем-л.
butt in|[bʌt ɪn]|мешать чему-л.
call for|[kɔːl fɔː]|требовать чего-то, быть хорошей возможностью
call off|[kɔːl ɒf]|отменить
care for|[keə fɔː]|заботиться, беспокоиться
check up on||проверять, инспектировать
cheer up|[ʧɪə ʌp]|поддержать
chill out|[ʧɪl aʊt]|расслабьтесь!
chip in||вносить вклад во что-л.
close down|[kləʊs daʊn]|закрывать, ликвидировать (магазин, компанию)
come round|[kʌm raʊnd]|навещать кого-л.
come up with|[kʌm ʌp wɪð]|придумать что-л.
cut back on||ограничить (потребления)
cut down on||ограничить (потребления)
deal with|[diːl wɪð]|справляться (с ситуацией)
depend on||зависеть от
die out|[daɪ aʊt]|вымирать
do over||переделать
do up||застегивать (пуговицы)
do without|[duː wɪˈðaʊt]|обходиться без чего-л.
drag away|[dræg əˈweɪ]|растягивать, откладывать
drink up|[drɪŋk ʌp]|выпить
drop by|[drɒp baɪ]|навещать кого-л.
drop off|[drɒp ɒf]|высадить кого-л. (из машины)
drop out|[drɒp aʊt]|бросить, уйти (изшколы)
eat out|[iːt aʊt]|питаться вне дома
face up to||смотреть на что-л.
fade away|[feɪd əˈweɪ]|исчезать
fade out|[feɪd aʊt]|угасать
fall apart|[fɔːl əˈpɑːt]|развалиться
fall behind|[fɔːl bɪˈhaɪnd]|отставать (в ходе работы)
fall down|[fɔːl daʊn]|падать
fall for||влюбиться в кого-л.
fall off|[fɔːl ɒf]|отвалиться
fall out with||ссориться с кем-л. (близким человеком)
feel for||сочувствовать кому-л.
figure out|[ˈfɪgə aʊt]|понять, разобраться
fill in|[fɪl ɪn]|наполнять
ill up||наливать до краев
fill out|[fɪl aʊt]|заполнять (форму)
find out|[faɪnd aʊt]|узнать что-то, выяснить
fit in|[fɪt ɪn]|входить, вписываться
get on with||иметь хорошие отношения
get away with||уход от ответственности (за убийство)
get back|[get bæk]|возвращаться
get down to||приступить к чему-л.
get on well with||связываться с кем-л.
get over|[get ˈəʊvə]|примириться с чем-то; найти решение
get rid of||избавиться от чего-то.
get down|[get daʊn]|опускать кого-л.
get together|[get təˈgeðə]|встречаться всей группой
give back|[gɪv bæk]|отдавать
give in to||уступать, поддаваться
give away|[gɪv əˈweɪ]|предавать кого-л.
go ahead|[gəʊ əˈhed]|начинать (в присутствии кого-то другого)
go with sth||хорошо сочетаться с чем-либо, сочетаться с кем-либо
grow apart||отдаляться друг от друга (в отношениях)
hand in|[hænd ɪn]|передавать что-л.
hand out|[hænd aʊt]|распределять, распространять что-либо вручную
